member_id,full_name,gender,date_of_birth,city,city_tier,state,occupation,marital_status,gym_branch_id,join_date,membership_type,referral_source,preferred_workout_time,has_personal_trainer,primary_goal,signup_channel,is_dob_missing,age,is_implausible_age
MBR-003327,Tarun Singh,Male,2000-01-26,Bengaluru,Tier1,Karnataka,Salaried-Non IT,Married,BR-033,2023-01-10,Premium,Friend Referral,Evening (6-9pm),False,Weight Loss,Website,False,26.5,False
MBR-009827,Priya Iyengar,Female,1994-07-21,Chennai,Tier1,Tamil Nadu,Salaried-Non IT,Single,BR-010,2024-07-27,Basic,Instagram Ad,Early Morning (5-7am),False,Weight Loss,App,False,32.1,False
MBR-004184,Meena Iyer,Female,2009-09-26,Mumbai,Tier1,Maharashtra,Student,Single,BR-039,2025-06-07,Basic,Walk-in,Morning,False,Weight Loss,App,False,16.9,False
MBR-013799,Nikhil Jadhav,Male,2005-07-16,Pune,Tier1,Maharashtra,Student,Single,BR-038,2021-07-17,Standard,Instagram Ad,Evening (6-9pm),False,Sports Training,Website,False,21.1,False
MBR-006007,Rajat Anand,Male,2005-12-04,Bhopal,Tier2,Madhya Pradesh,Student,Single,BR-034,2021-10-08,Premium,Instagram Ad,Evening (6-9pm),False,Weight Loss,In-person,False,20.7,False
MBR-003433,Moushumi Pal,Female,2000-05-11,Kolkata,Tier1,West Bengal,Salaried-Non IT,Single,BR-017,2022-08-17,Basic,Walk-in,Late Night,False,Weight Loss,In-person,False,26.3,False
MBR-012868,Aditya Chauhan,Male,2009-06-05,Dehradun,Tier3,Uttarakhand,Student,Single,BR-004,2025-09-12,Premium,Friend Referral,Morning,True,General Fitness,App,False,17.2,False
MBR-003542,Rajesh Khurana,Male,2004-11-25,Kolkata,Tier1,West Bengal,Salaried-Non IT,Single,BR-017,2025-09-13,PT-Combo,Instagram Ad,Morning,True,Sports Training,In-person,False,21.7,False
MBR-003197,Karthik Murthy,Male,1995-08-22,Chennai,Tier1,Tamil Nadu,Govt Employee,Single,BR-010,2024-03-19,Basic,Instagram Ad,Evening (6-9pm),False,General Fitness,App,False,31.0,False
MBR-005728,Rajesh Bhattacharya,Male,1996-04-28,Kolkata,Tier1,West Bengal,Business Owner,Single,BR-017,2023-11-02,Basic,Justdial,Afternoon,False,Muscle Gain,In-person,False,30.3,False
