member_id,full_name,gender,date_of_birth,city,city_tier,state,occupation,marital_status,gym_branch_id,join_date,membership_type,referral_source,preferred_workout_time,has_personal_trainer,primary_goal,signup_channel
MBR-003327,Tarun Singh,Male,26-01-2000,Bangalore,Tier1,Karnataka,Salaried-Non IT,Married,BR-033,10-01-2023,Premium,Friend Referral,Evening (6-9pm),False,Weight Loss,Website
MBR-009827,Priya Iyengar,Female,21-07-1994,Chennai,Tier1,Tamil Nadu,Salaried-Non IT,Single,BR-010,2024/07/27,Basic,Instagram Ad,Early Morning (5-7am),False,Weight Loss,App
MBR-004184,Meena Iyer,Female,2009/09/26,Mumbai,Tier1,Maharashtra,Student,Single,BR-039,2025/06/07,Basic,Walk-in,Morning,False,Weight Loss,App
MBR-013799,Nikhil Jadhav,Male,2005/07/16,Pune,Tier1,Maharashtra,Student,Single,BR-038,17-07-2021,Standard,Instagram Ad,Evening (6-9pm),False,Sports Training,Website
MBR-006007,Rajat Anand,Male,04-12-2005,Bhopal,Tier2,Madhya Pradesh,Student,Single,BR-034,08-10-2021,Premium,Instagram Ad,Evening (6-9pm),False,Weight Loss,In-person
MBR-003433,Moushumi Pal,Female,11-05-2000,Kolkata,Tier1,West Bengal,Salaried-Non IT,Single,BR-017,17-08-2022,Basic,Walk-in,Late Night,False,Weight Loss,In-person
MBR-012868,Aditya Chauhan,Male,05-06-2009,Dehradun,Tier3,Uttarakhand,Student,Single,BR-004,12-09-2025,Premium,Friend Referral,Morning,True,General Fitness,App
MBR-003542,Rajesh Khurana,Male,2004/11/25,Kolkata,Tier1,West Bengal,Salaried-Non IT,Single,BR-017,2025/09/13,PT-Combo,Instagram Ad,Morning,True,Sports Training,In-person
MBR-003197,Karthik Murthy,Male,22-08-1995,Chennai,Tier1,Tamil Nadu,Govt Employee,Single,BR-010,2024/03/19,Basic,Instagram Ad,Evening (6-9pm),False,General Fitness,App
MBR-005728,Rajesh Bhattacharya,Male,1996/04/28,Kolkata,Tier1,West Bengal,Business Owner,Single,BR-017,02-11-2023,Basic,Justdial,Afternoon,False,Muscle Gain,In-person
MBR-006117,Snehal Shah,Female,1996/09/04,Mysore,Tier3,Karnataka,Salaried-IT,Single,BR-029,16-02-2022,PT-Combo,Walk-in,Early Morning (5-7am),False,General Fitness,App
MBR-014781,Pratik Mehta,Male,2003/06/17,Surat,Tier2,Gujarat,Student,Single,BR-031,13-09-2025,Premium,Walk-in,Evening (6-9pm),False,Muscle Gain,App
MBR-004107,Rohan Malhotra,Male,23-08-1994,Kolkata,Tier1,West Bengal,Homemaker,Married,BR-017,15-05-2025,Premium,Walk-in,Evening (6-9pm),False,General Fitness,In-person
MBR-014393,Deepak Sharma,Male,17-07-1986,Mumbai,Tier1,Maharashtra,Salaried-Non IT,Married,BR-016,2022/04/09,Premium,Instagram Ad,Evening (6-9pm),True,Weight Loss,In-person
MBR-008948,Nikhil Mishra,Male,19-05-1998,Delhi,Tier1,Delhi,Freelancer,Single,BR-018,2024/12/15,Standard,Justdial,Evening (6-9pm),False,Muscle Gain,In-person
MBR-011812,Swati Bhalla,Female,05-01-1990,Dehradun,Tier3,Uttarakhand,Salaried-Non IT,Married,BR-004,16-01-2021,Premium,Walk-in,Evening (6-9pm),True,Muscle Gain,In-person
MBR-002903,Bhavana Iyengar,Female,18-08-2009,Jaipur,Tier2,Rajasthan,Student,Single,BR-013,2025/03/12,Premium,Instagram Ad,Evening (6-9pm),False,Sports Training,Website
MBR-003666,Naveen Venkataraman,Male,1999/09/23,Bengaluru,Tier1,Karnataka,Salaried-Non IT,Single,BR-033,2025/02/08,PT-Combo,Instagram Ad,Evening (6-9pm),True,Rehab,Website
MBR-006338,Kajal Kulkarni,Female,2006/08/25,Chennai,Tier1,Tamil Nadu,Freelancer,Single,BR-015,2023/08/28,Basic,Friend Referral,Evening (6-9pm),False,Weight Loss,In-person
MBR-016950,Mahesh Menon,Male,1990/04/09,Bangalore,Tier1,Karnataka,Business Owner,Married,BR-033,2025/06/12,Basic,Friend Referral,Evening (6-9pm),False,Weight Loss,App
MBR-016016,Arindam Chatterjee,Male,1999/10/12,Gurugram,Tier1,Haryana,Business Owner,Single,BR-009,2023/04/24,Standard,Aggregator App,Morning,False,Rehab,Website
MBR-004544,Sowmya Nair,Female,19-08-1996,Gurugram,Tier1,Haryana,Salaried-Non IT,Married,BR-037,2022/11/23,Basic,Aggregator App,Late Night,False,Muscle Gain,Website
MBR-012476,Ananya Chakraborty,Other,17-01-1994,Bengaluru,Tier1,Karnataka,Business Owner,Single,BR-033,2025/09/28,Standard,Walk-in,Evening (6-9pm),True,General Fitness,Website
MBR-004475,Sanjay Anand,Male,1984/05/11,Jalandhar,Tier2,Punjab,Salaried-IT,Married,BR-007,20-09-2021,Standard,Aggregator App,Evening (6-9pm),False,Rehab,App
MBR-013812,Venkatesh Achary,Male,08-05-2005,Hyderabad,Tier1,Telangana,Freelancer,Single,BR-034,02-09-2024,Basic,Friend Referral,Early Morning (5-7am),False,Muscle Gain,App
MBR-002412,Madhavi Iyengar,Female,09-04-2002,Mysore,Tier3,Karnataka,Homemaker,Married,BR-029,12-06-2025,Standard,Friend Referral,Evening (6-9pm),False,Weight Loss,Website
MBR-010365,Kishore Achary,Male,16-04-2006,Chennai,Tier1,Tamil Nadu,Student,Single,BR-015,2025/07/12,Standard,Walk-in,Morning,False,General Fitness,Website
MBR-000305,Padma Rao,Female,1999/09/13,Pune,Tier1,Maharashtra,Homemaker,Single,BR-038,2023/02/16,Premium,Walk-in,Evening (6-9pm),False,General Fitness,In-person
MBR-004135,Sathish Krishnan,Male,1994/09/24,Bangalore,Tier1,Karnataka,Student,Single,BR-033,18-10-2021,Standard,Walk-in,Evening (6-9pm),True,Weight Loss,App
MBR-005339,Nikita Desai,Female,1996/04/27,Ahmedabad,Tier1,Gujarat,Homemaker,Single,BR-038,28-10-2023,Basic,Corporate Tie-up,Morning,False,Pre-Wedding Prep,App
MBR-003581,Sourav Dutta,Male,19-02-1995,Gurugram,Tier1,Haryana,Govt Employee,Single,BR-009,2023/01/14,PT-Combo,Instagram Ad,Late Night,True,Sports Training,In-person
MBR-009024,Sowmya Raman,Female,1999/03/20,Hyderabad,Tier1,Telangana,Student,Single,BR-011,2021/02/24,Premium,Walk-in,Morning,True,Muscle Gain,In-person
MBR-006124,Mohit Aggarwal,Male,14-06-2006,Chandigarh,Tier2,Punjab,Student,Single,BR-008,2024/11/16,PT-Combo,Instagram Ad,Early Morning (5-7am),True,Muscle Gain,Website
MBR-008534,Abhijit Kher,Male,2005/10/17,Vadodara,Tier2,Gujarat,Student,Single,BR-003,01-09-2024,Standard,Justdial,Evening (6-9pm),False,Muscle Gain,Website
MBR-013943,Anil Grover,Male,2004/02/17,Patna,Tier3,Bihar,Student,Single,BR-032,08-01-2025,Standard,Instagram Ad,Afternoon,False,Muscle Gain,In-person
MBR-000664,Abhinav Verma,Male,09-08-1997,Bengaluru,Tier1,Karnataka,Homemaker,Married,BR-033,01-04-2023,Premium,Walk-in,Evening (6-9pm),False,General Fitness,Website
MBR-013505,Jayesh Bhosale,Male,11-03-2003,Nagpur,Tier2,Maharashtra,Student,Single,BR-007,2021/01/18,Standard,Walk-in,Afternoon,False,Muscle Gain,App
MBR-009792,Isha Rana,Female,1991/01/18,Chandigarh,Tier2,Punjab,Homemaker,Married,BR-008,2025/05/14,Premium,Walk-in,Evening (6-9pm),False,Weight Loss,In-person
MBR-005543,Rajesh Mehta,Male,20-08-1992,Chandigarh,Tier2,Punjab,Homemaker,Single,BR-008,2022/02/15,Standard,Corporate Tie-up,Evening (6-9pm),False,Weight Loss,Website
MBR-004053,Suresh Iyengar,Male,1992/10/02,Bengaluru,Tier1,Karnataka,Homemaker,Married,BR-033,28-10-2023,Premium,Walk-in,Evening (6-9pm),False,General Fitness,In-person
